,Region_of_Origin,District_of_Origin,County_of_Origin,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day_first,Average_BusUsers_per_Day_second,Variation_abs,Variation_rel
0,R1 - AM Lisboa,Lisboa,Amadora,Female,15-24,294.194206,536.005174,241.810968,0.8219433390200758
1,R1 - AM Lisboa,Lisboa,Amadora,Female,25-34,1081.652817,408.068335,-673.584482,-0.6227363081882493
2,R1 - AM Lisboa,Lisboa,Amadora,Female,35-44,235.836653,478.337192,242.500539,1.0282563626782815
3,R1 - AM Lisboa,Lisboa,Amadora,Female,45-54,840.951323,571.192813,-269.75851,-0.32077779369876797
4,R1 - AM Lisboa,Lisboa,Amadora,Female,55-64,1216.148092,741.072367,-475.0757249999999,-0.39063969933030157
5,R1 - AM Lisboa,Lisboa,Amadora,Male,15-24,1148.427051,647.053324,-501.3737269999999,-0.4365742922577674
6,R1 - AM Lisboa,Lisboa,Amadora,Male,25-34,421.94018,263.166885,-158.77329500000002,-0.3762933764686739
7,R1 - AM Lisboa,Lisboa,Amadora,Male,35-44,137.697607,723.561851,585.8642440000001,4.254716234828976
8,R1 - AM Lisboa,Lisboa,Amadora,Male,45-54,617.693161,794.108294,176.41513299999997,0.2856031831636225
9,R1 - AM Lisboa,Lisboa,Amadora,Male,55-64,867.481913,658.293137,-209.18877599999996,-0.2411448271890367
10,R1 - AM Lisboa,Lisboa,Amadora,Male,65+,1612.851365,1092.59348,-520.257885,-0.3225702605273859
11,R1 - AM Lisboa,Lisboa,Cascais,Female,15-24,745.379537,352.976908,-392.40262900000005,-0.5264467422587696
12,R1 - AM Lisboa,Lisboa,Cascais,Female,25-34,919.144204,496.352956,-422.79124799999994,-0.45998358708031406
13,R1 - AM Lisboa,Lisboa,Cascais,Female,35-44,816.414391,451.279131,-365.13526,-0.4472425572419877
14,R1 - AM Lisboa,Lisboa,Cascais,Female,45-54,970.140963,670.410921,-299.730042,-0.3089551451091546
15,R1 - AM Lisboa,Lisboa,Cascais,Female,55-64,756.408177,345.732856,-410.675321,-0.5429281880965177
16,R1 - AM Lisboa,Lisboa,Cascais,Female,65+,2017.333975,1308.845537,-708.4884380000001,-0.3512003697850774
17,R1 - AM Lisboa,Lisboa,Cascais,Male,15-24,4548.093582,1253.409603,-3294.6839790000004,-0.724409891660844
18,R1 - AM Lisboa,Lisboa,Cascais,Male,25-34,298.292615,446.840084,148.54746899999998,0.49799244610866406
19,R1 - AM Lisboa,Lisboa,Cascais,Male,35-44,439.301423,251.980385,-187.321038,-0.42640662695963993
20,R1 - AM Lisboa,Lisboa,Cascais,Male,45-54,690.807533,572.718581,-118.08895200000006,-0.1709433472550162
21,R1 - AM Lisboa,Lisboa,Cascais,Male,55-64,822.493709,487.652569,-334.84113999999994,-0.40710480376452335
22,R1 - AM Lisboa,Lisboa,Lisboa,Female,15-24,2622.526139,669.44433,-1953.081809,-0.7447330190366502
23,R1 - AM Lisboa,Lisboa,Lisboa,Female,25-34,1505.189142,735.866683,-769.322459,-0.511113479052721
24,R1 - AM Lisboa,Lisboa,Lisboa,Female,35-44,1021.261465,507.994453,-513.267012,-0.5025813952551319
25,R1 - AM Lisboa,Lisboa,Lisboa,Female,45-54,1217.651233,783.473925,-434.17730800000004,-0.3565695136942386
26,R1 - AM Lisboa,Lisboa,Lisboa,Female,55-64,2407.573978,1190.245303,-1217.328675,-0.5056246188585446
27,R1 - AM Lisboa,Lisboa,Lisboa,Female,65+,4955.503747,5225.804785,270.3010380000005,0.054545622766128954
28,R1 - AM Lisboa,Lisboa,Lisboa,Male,15-24,3061.885495,1579.620589,-1482.2649059999999,-0.4841020046048456
29,R1 - AM Lisboa,Lisboa,Lisboa,Male,25-34,2919.594549,890.302313,-2029.2922359999998,-0.6950596056891049
30,R1 - AM Lisboa,Lisboa,Lisboa,Male,35-44,1289.676418,1073.288753,-216.38766499999997,-0.1677844628155401
31,R1 - AM Lisboa,Lisboa,Lisboa,Male,45-54,1041.699059,887.183426,-154.51563299999998,-0.1483303951031024
32,R1 - AM Lisboa,Lisboa,Lisboa,Male,55-64,1714.973185,1019.611822,-695.3613630000001,-0.40546486037331253
33,R1 - AM Lisboa,Lisboa,Lisboa,Male,65+,4116.755355,3190.436995,-926.3183600000002,-0.22501175807664678
34,R1 - AM Lisboa,Lisboa,Loures,Female,15-24,2529.941678,522.762132,-2007.1795460000003,-0.7933698881101243
35,R1 - AM Lisboa,Lisboa,Loures,Female,25-34,866.086815,551.103224,-314.98359100000005,-0.36368593257016624
36,R1 - AM Lisboa,Lisboa,Loures,Female,35-44,817.834735,364.604477,-453.23025800000005,-0.5541831846992902
37,R1 - AM Lisboa,Lisboa,Loures,Female,45-54,292.304178,337.300594,44.99641600000001,0.15393695809575467
38,R1 - AM Lisboa,Lisboa,Loures,Female,55-64,264.211066,993.680701,729.4696349999999,2.760935210033935
39,R1 - AM Lisboa,Lisboa,Loures,Female,65+,147.47484,702.814481,555.339641,3.7656568469577594
40,R1 - AM Lisboa,Lisboa,Loures,Male,15-24,115.773418,278.755283,162.98186500000003,1.4077658569258102
41,R1 - AM Lisboa,Lisboa,Loures,Male,25-34,117.599576,61.714735,-55.884841,-0.47521294634599703
42,R1 - AM Lisboa,Lisboa,Loures,Male,35-44,452.760878,327.270328,-125.49054999999998,-0.27716738812402425
43,R1 - AM Lisboa,Lisboa,Loures,Male,45-54,774.207928,837.000484,62.79255599999999,0.08110554507264099
44,R1 - AM Lisboa,Lisboa,Loures,Male,55-64,2105.541715,900.549645,-1204.9920699999998,-0.5722955101841808
45,R1 - AM Lisboa,Lisboa,Mafra,Female,15-24,384.745532,235.614199,-149.131333,-0.3876103049846463
46,R1 - AM Lisboa,Lisboa,Mafra,Female,25-34,121.57576,99.578167,-21.99759300000001,-0.18093732665129963
47,R1 - AM Lisboa,Lisboa,Mafra,Female,35-44,1615.902979,687.519859,-928.38312,-0.5745289983774453
48,R1 - AM Lisboa,Lisboa,Mafra,Female,45-54,249.054524,106.871656,-142.18286799999998,-0.5708905251606672
49,R1 - AM Lisboa,Lisboa,Mafra,Male,25-34,432.498117,24.345274,-408.15284299999996,-0.9437101040604068
50,R1 - AM Lisboa,Lisboa,Mafra,Male,45-54,166.322924,140.797652,-25.525272,-0.15346815331361058
51,R1 - AM Lisboa,Lisboa,Mafra,Male,55-64,273.979757,231.502177,-42.47758000000002,-0.15503911845574786
52,R1 - AM Lisboa,Lisboa,Odivelas,Female,15-24,965.790017,68.708021,-897.081996,-0.928858219912621
53,R1 - AM Lisboa,Lisboa,Odivelas,Female,25-34,461.725149,399.204807,-62.52034199999997,-0.1354059707066118
54,R1 - AM Lisboa,Lisboa,Odivelas,Female,35-44,653.928959,248.894478,-405.03448099999997,-0.6193860593349254
55,R1 - AM Lisboa,Lisboa,Odivelas,Female,45-54,1724.795552,1072.038786,-652.756766,-0.37845457407580324
56,R1 - AM Lisboa,Lisboa,Odivelas,Female,55-64,816.338215,381.784371,-434.55384399999997,-0.5323208395922026
57,R1 - AM Lisboa,Lisboa,Odivelas,Male,25-34,1405.963201,562.412264,-843.550937,-0.5999808077480401
58,R1 - AM Lisboa,Lisboa,Odivelas,Male,35-44,1683.830909,856.137798,-827.693111,-0.4915535797424895
59,R1 - AM Lisboa,Lisboa,Odivelas,Male,45-54,2040.400332,1795.937845,-244.462487,-0.11981104059142057
60,R1 - AM Lisboa,Lisboa,Odivelas,Male,55-64,2031.494335,1203.607999,-827.886336,-0.4075257911068701
61,R1 - AM Lisboa,Lisboa,Odivelas,Male,65+,5441.109494,4068.798434,-1372.3110600000005,-0.2522116236611798
62,R1 - AM Lisboa,Lisboa,Oeiras,Female,15-24,2068.685107,752.878878,-1315.8062289999998,-0.6360592168172843
63,R1 - AM Lisboa,Lisboa,Oeiras,Female,25-34,21.863276,447.437221,425.57394500000004,19.465241393833203
64,R1 - AM Lisboa,Lisboa,Oeiras,Female,35-44,335.828948,483.736599,147.907651,0.4404255555718204
65,R1 - AM Lisboa,Lisboa,Oeiras,Female,45-54,1184.322816,831.124275,-353.1985410000001,-0.29822826701330735
66,R1 - AM Lisboa,Lisboa,Oeiras,Female,55-64,3560.659986,2724.852228,-835.8077579999999,-0.23473394294492456
67,R1 - AM Lisboa,Lisboa,Oeiras,Female,65+,2264.585254,4091.999075,1827.413821,0.8069529808039632
68,R1 - AM Lisboa,Lisboa,Oeiras,Male,25-34,1126.049729,662.735255,-463.314474,-0.4114511660257235
69,R1 - AM Lisboa,Lisboa,Oeiras,Male,35-44,1341.769467,1060.27417,-281.49529700000016,-0.2097940845452255
70,R1 - AM Lisboa,Lisboa,Oeiras,Male,45-54,695.774521,412.675608,-283.09891300000004,-0.4068831272997995
71,R1 - AM Lisboa,Lisboa,Oeiras,Male,55-64,1525.267809,691.536551,-833.7312579999999,-0.546613029581089
72,R1 - AM Lisboa,Lisboa,Oeiras,Male,65+,9574.868536,6687.302831,-2887.565705,-0.3015775824120412
73,R1 - AM Lisboa,Lisboa,Sintra,Female,15-24,809.491342,594.458243,-215.033099,-0.26563977629299956
74,R1 - AM Lisboa,Lisboa,Sintra,Female,25-34,702.87631,203.358189,-499.51812099999995,-0.7106771332213486
75,R1 - AM Lisboa,Lisboa,Sintra,Female,35-44,1067.548506,491.407433,-576.141073,-0.5396860842967636
76,R1 - AM Lisboa,Lisboa,Sintra,Female,45-54,628.884637,363.386502,-265.498135,-0.4221730336211091
77,R1 - AM Lisboa,Lisboa,Sintra,Female,55-64,575.924467,446.94795,-128.97651700000006,-0.22394693122145137
78,R1 - AM Lisboa,Lisboa,Sintra,Female,65+,341.166005,390.656267,49.49026200000003,0.14506211426311375
79,R1 - AM Lisboa,Lisboa,Sintra,Male,15-24,1039.44849,305.868343,-733.580147,-0.7057397784088368
80,R1 - AM Lisboa,Lisboa,Sintra,Male,25-34,514.157731,651.750341,137.59261000000004,0.2676077820173826
81,R1 - AM Lisboa,Lisboa,Sintra,Male,35-44,560.391065,379.330656,-181.06040900000005,-0.32309653081281736
82,R1 - AM Lisboa,Lisboa,Sintra,Male,45-54,724.617493,542.275502,-182.341991,-0.251638958155817
83,R1 - AM Lisboa,Lisboa,Sintra,Male,55-64,822.201267,608.485062,-213.71620500000006,-0.25993173883056064
84,R1 - AM Lisboa,Lisboa,Sintra,Male,65+,371.207607,167.942964,-203.264643,-0.5475767176290652
85,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,15-24,1526.050605,354.397869,-1171.652736,-0.7677679443664321
86,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,25-34,57.097292,54.592288,-2.5050039999999996,-0.04387255353546363
87,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,35-44,467.533246,281.478873,-186.054373,-0.397948968531748
88,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,45-54,703.039153,543.432164,-159.6069890000001,-0.22702432477469728
89,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,55-64,967.153277,877.417957,-89.73532,-0.09278293537747068
90,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,65+,598.696931,500.904232,-97.79269899999997,-0.16334257607878064
91,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,25-34,791.983677,226.283182,-565.7004949999999,-0.7142830230325568
92,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,35-44,137.425488,124.491722,-12.933766000000006,-0.09411475402583257
93,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,45-54,534.709075,308.432718,-226.27635699999996,-0.42317657877790826
94,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,55-64,141.556626,693.873061,552.316435,3.901734949517658
95,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,65+,4619.763109,1733.700675,-2886.0624340000004,-0.6247208711584177
96,R1 - AM Lisboa,Setúbal,Alcochete,Male,35-44,148.504551,157.793211,9.288660000000021,0.06254798211537653
97,R1 - AM Lisboa,Setúbal,Almada,Female,15-24,76.98526,184.171509,107.18624899999999,1.3922957329753773
98,R1 - AM Lisboa,Setúbal,Almada,Female,25-34,529.797711,405.646595,-124.15111600000006,-0.23433682974141812
99,R1 - AM Lisboa,Setúbal,Almada,Female,35-44,1113.117185,479.574256,-633.5429290000001,-0.5691610349183496
100,R1 - AM Lisboa,Setúbal,Almada,Female,45-54,701.945176,321.825519,-380.11965699999996,-0.5415232841489034
101,R1 - AM Lisboa,Setúbal,Almada,Female,55-64,1539.05817,675.965262,-863.092908,-0.5607929088216334
102,R1 - AM Lisboa,Setúbal,Almada,Male,15-24,1140.502352,381.95058,-758.551772,-0.6651032070822069
103,R1 - AM Lisboa,Setúbal,Almada,Male,25-34,17.528597,497.588139,480.059542,27.387219981154225
104,R1 - AM Lisboa,Setúbal,Almada,Male,35-44,567.133667,768.014057,200.88039000000003,0.35420290081279915
105,R1 - AM Lisboa,Setúbal,Almada,Male,45-54,734.437908,589.356141,-145.081767,-0.19754122904015464
106,R1 - AM Lisboa,Setúbal,Almada,Male,55-64,1153.217952,1059.492103,-93.72584899999993,-0.08127331770846377
107,R1 - AM Lisboa,Setúbal,Almada,Male,65+,754.478639,1903.343342,1148.8647029999997,1.5227266136026412
108,R1 - AM Lisboa,Setúbal,Barreiro,Female,25-34,154.142963,58.338982,-95.80398100000001,-0.6215267900358189
109,R1 - AM Lisboa,Setúbal,Barreiro,Female,35-44,216.209564,180.985328,-35.22423599999999,-0.16291710388907676
110,R1 - AM Lisboa,Setúbal,Barreiro,Female,45-54,142.916866,61.886259,-81.030607,-0.5669772173705516
111,R1 - AM Lisboa,Setúbal,Barreiro,Female,55-64,592.69902,25.425953,-567.273067,-0.9571014087386207
112,R1 - AM Lisboa,Setúbal,Barreiro,Female,65+,6863.508899,4419.364506,-2444.1443930000005,-0.3561071208571038
113,R1 - AM Lisboa,Setúbal,Barreiro,Male,35-44,269.762879,77.071636,-192.691243,-0.7142985859073664
114,R1 - AM Lisboa,Setúbal,Barreiro,Male,45-54,159.137107,31.283509,-127.85359799999999,-0.803417885433848
115,R1 - AM Lisboa,Setúbal,Barreiro,Male,55-64,138.42494,372.782113,234.357173,1.6930270874598177
116,R1 - AM Lisboa,Setúbal,Moita,Female,15-24,25.139772,46.483293,21.343521000000003,0.8489942152219997
117,R1 - AM Lisboa,Setúbal,Moita,Female,35-44,1126.283479,408.352184,-717.9312949999999,-0.6374339217311736
118,R1 - AM Lisboa,Setúbal,Moita,Female,45-54,251.447252,216.272346,-35.17490599999999,-0.13988980082391195
