Region_of_Origin,District_of_Origin,County_of_Origin,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day_first,Average_BusUsers_per_Day_second,Variation_abs,Variation_rel
R1 - AM Lisboa,Lisboa,Amadora,Female,15-24,294.194206,536.005174,241.810968,0.8219433390200758
R1 - AM Lisboa,Lisboa,Amadora,Female,25-34,1081.652817,408.068335,-673.584482,-0.6227363081882493
R1 - AM Lisboa,Lisboa,Amadora,Female,35-44,235.836653,478.337192,242.500539,1.0282563626782815
R1 - AM Lisboa,Lisboa,Amadora,Female,45-54,840.951323,571.192813,-269.75851,-0.32077779369876797
R1 - AM Lisboa,Lisboa,Amadora,Female,55-64,1216.148092,741.072367,-475.0757249999999,-0.39063969933030157
R1 - AM Lisboa,Lisboa,Amadora,Male,15-24,1148.427051,647.053324,-501.3737269999999,-0.4365742922577674
R1 - AM Lisboa,Lisboa,Amadora,Male,25-34,421.94018,263.166885,-158.77329500000002,-0.3762933764686739
R1 - AM Lisboa,Lisboa,Amadora,Male,35-44,137.697607,723.561851,585.8642440000001,4.254716234828976
R1 - AM Lisboa,Lisboa,Amadora,Male,45-54,617.693161,794.108294,176.41513299999997,0.2856031831636225
R1 - AM Lisboa,Lisboa,Amadora,Male,55-64,867.481913,658.293137,-209.18877599999996,-0.2411448271890367
R1 - AM Lisboa,Lisboa,Amadora,Male,65+,1612.851365,1092.59348,-520.257885,-0.3225702605273859
R1 - AM Lisboa,Lisboa,Cascais,Female,15-24,745.379537,352.976908,-392.40262900000005,-0.5264467422587696
R1 - AM Lisboa,Lisboa,Cascais,Female,25-34,919.144204,496.352956,-422.79124799999994,-0.45998358708031406
R1 - AM Lisboa,Lisboa,Cascais,Female,35-44,816.414391,451.279131,-365.13526,-0.4472425572419877
R1 - AM Lisboa,Lisboa,Cascais,Female,45-54,970.140963,670.410921,-299.730042,-0.3089551451091546
R1 - AM Lisboa,Lisboa,Cascais,Female,55-64,756.408177,345.732856,-410.675321,-0.5429281880965177
R1 - AM Lisboa,Lisboa,Cascais,Female,65+,2017.333975,1308.845537,-708.4884380000001,-0.3512003697850774
R1 - AM Lisboa,Lisboa,Cascais,Male,15-24,4548.093582,1253.409603,-3294.6839790000004,-0.724409891660844
R1 - AM Lisboa,Lisboa,Cascais,Male,25-34,298.292615,446.840084,148.54746899999998,0.49799244610866406
R1 - AM Lisboa,Lisboa,Cascais,Male,35-44,439.301423,251.980385,-187.321038,-0.42640662695963993
R1 - AM Lisboa,Lisboa,Cascais,Male,45-54,690.807533,572.718581,-118.08895200000006,-0.1709433472550162
R1 - AM Lisboa,Lisboa,Cascais,Male,55-64,822.493709,487.652569,-334.84113999999994,-0.40710480376452335
R1 - AM Lisboa,Lisboa,Lisboa,Female,15-24,2622.526139,669.44433,-1953.081809,-0.7447330190366502
R1 - AM Lisboa,Lisboa,Lisboa,Female,25-34,1505.189142,735.866683,-769.322459,-0.511113479052721
R1 - AM Lisboa,Lisboa,Lisboa,Female,35-44,1021.261465,507.994453,-513.267012,-0.5025813952551319
R1 - AM Lisboa,Lisboa,Lisboa,Female,45-54,1217.651233,783.473925,-434.17730800000004,-0.3565695136942386
R1 - AM Lisboa,Lisboa,Lisboa,Female,55-64,2407.573978,1190.245303,-1217.328675,-0.5056246188585446
R1 - AM Lisboa,Lisboa,Lisboa,Female,65+,4955.503747,5225.804785,270.3010380000005,0.054545622766128954
R1 - AM Lisboa,Lisboa,Lisboa,Male,15-24,3061.885495,1579.620589,-1482.2649059999999,-0.4841020046048456
R1 - AM Lisboa,Lisboa,Lisboa,Male,25-34,2919.594549,890.302313,-2029.2922359999998,-0.6950596056891049
R1 - AM Lisboa,Lisboa,Lisboa,Male,35-44,1289.676418,1073.288753,-216.38766499999997,-0.1677844628155401
R1 - AM Lisboa,Lisboa,Lisboa,Male,45-54,1041.699059,887.183426,-154.51563299999998,-0.1483303951031024
R1 - AM Lisboa,Lisboa,Lisboa,Male,55-64,1714.973185,1019.611822,-695.3613630000001,-0.40546486037331253
R1 - AM Lisboa,Lisboa,Lisboa,Male,65+,4116.755355,3190.436995,-926.3183600000002,-0.22501175807664678
R1 - AM Lisboa,Lisboa,Loures,Female,15-24,2529.941678,522.762132,-2007.1795460000003,-0.7933698881101243
R1 - AM Lisboa,Lisboa,Loures,Female,25-34,866.086815,551.103224,-314.98359100000005,-0.36368593257016624
R1 - AM Lisboa,Lisboa,Loures,Female,35-44,817.834735,364.604477,-453.23025800000005,-0.5541831846992902
R1 - AM Lisboa,Lisboa,Loures,Female,45-54,292.304178,337.300594,44.99641600000001,0.15393695809575467
R1 - AM Lisboa,Lisboa,Loures,Female,55-64,264.211066,993.680701,729.4696349999999,2.760935210033935
R1 - AM Lisboa,Lisboa,Loures,Female,65+,147.47484,702.814481,555.339641,3.7656568469577594
R1 - AM Lisboa,Lisboa,Loures,Male,15-24,115.773418,278.755283,162.98186500000003,1.4077658569258102
R1 - AM Lisboa,Lisboa,Loures,Male,25-34,117.599576,61.714735,-55.884841,-0.47521294634599703
R1 - AM Lisboa,Lisboa,Loures,Male,35-44,452.760878,327.270328,-125.49054999999998,-0.27716738812402425
R1 - AM Lisboa,Lisboa,Loures,Male,45-54,774.207928,837.000484,62.79255599999999,0.08110554507264099
R1 - AM Lisboa,Lisboa,Loures,Male,55-64,2105.541715,900.549645,-1204.9920699999998,-0.5722955101841808
R1 - AM Lisboa,Lisboa,Mafra,Female,15-24,384.745532,235.614199,-149.131333,-0.3876103049846463
R1 - AM Lisboa,Lisboa,Mafra,Female,25-34,121.57576,99.578167,-21.99759300000001,-0.18093732665129963
R1 - AM Lisboa,Lisboa,Mafra,Female,35-44,1615.902979,687.519859,-928.38312,-0.5745289983774453
R1 - AM Lisboa,Lisboa,Mafra,Female,45-54,249.054524,106.871656,-142.18286799999998,-0.5708905251606672
R1 - AM Lisboa,Lisboa,Mafra,Male,25-34,432.498117,24.345274,-408.15284299999996,-0.9437101040604068
R1 - AM Lisboa,Lisboa,Mafra,Male,45-54,166.322924,140.797652,-25.525272,-0.15346815331361058
R1 - AM Lisboa,Lisboa,Mafra,Male,55-64,273.979757,231.502177,-42.47758000000002,-0.15503911845574786
R1 - AM Lisboa,Lisboa,Odivelas,Female,15-24,965.790017,68.708021,-897.081996,-0.928858219912621
R1 - AM Lisboa,Lisboa,Odivelas,Female,25-34,461.725149,399.204807,-62.52034199999997,-0.1354059707066118
R1 - AM Lisboa,Lisboa,Odivelas,Female,35-44,653.928959,248.894478,-405.03448099999997,-0.6193860593349254
R1 - AM Lisboa,Lisboa,Odivelas,Female,45-54,1724.795552,1072.038786,-652.756766,-0.37845457407580324
R1 - AM Lisboa,Lisboa,Odivelas,Female,55-64,816.338215,381.784371,-434.55384399999997,-0.5323208395922026
R1 - AM Lisboa,Lisboa,Odivelas,Male,25-34,1405.963201,562.412264,-843.550937,-0.5999808077480401
R1 - AM Lisboa,Lisboa,Odivelas,Male,35-44,1683.830909,856.137798,-827.693111,-0.4915535797424895
R1 - AM Lisboa,Lisboa,Odivelas,Male,45-54,2040.400332,1795.937845,-244.462487,-0.11981104059142057
R1 - AM Lisboa,Lisboa,Odivelas,Male,55-64,2031.494335,1203.607999,-827.886336,-0.4075257911068701
R1 - AM Lisboa,Lisboa,Odivelas,Male,65+,5441.109494,4068.798434,-1372.3110600000005,-0.2522116236611798
R1 - AM Lisboa,Lisboa,Oeiras,Female,15-24,2068.685107,752.878878,-1315.8062289999998,-0.6360592168172843
R1 - AM Lisboa,Lisboa,Oeiras,Female,25-34,21.863276,447.437221,425.57394500000004,19.465241393833203
R1 - AM Lisboa,Lisboa,Oeiras,Female,35-44,335.828948,483.736599,147.907651,0.4404255555718204
R1 - AM Lisboa,Lisboa,Oeiras,Female,45-54,1184.322816,831.124275,-353.1985410000001,-0.29822826701330735
R1 - AM Lisboa,Lisboa,Oeiras,Female,55-64,3560.659986,2724.852228,-835.8077579999999,-0.23473394294492456
R1 - AM Lisboa,Lisboa,Oeiras,Female,65+,2264.585254,4091.999075,1827.413821,0.8069529808039632
R1 - AM Lisboa,Lisboa,Oeiras,Male,25-34,1126.049729,662.735255,-463.314474,-0.4114511660257235
R1 - AM Lisboa,Lisboa,Oeiras,Male,35-44,1341.769467,1060.27417,-281.49529700000016,-0.2097940845452255
R1 - AM Lisboa,Lisboa,Oeiras,Male,45-54,695.774521,412.675608,-283.09891300000004,-0.4068831272997995
R1 - AM Lisboa,Lisboa,Oeiras,Male,55-64,1525.267809,691.536551,-833.7312579999999,-0.546613029581089
R1 - AM Lisboa,Lisboa,Oeiras,Male,65+,9574.868536,6687.302831,-2887.565705,-0.3015775824120412
R1 - AM Lisboa,Lisboa,Sintra,Female,15-24,809.491342,594.458243,-215.033099,-0.26563977629299956
R1 - AM Lisboa,Lisboa,Sintra,Female,25-34,702.87631,203.358189,-499.51812099999995,-0.7106771332213486
R1 - AM Lisboa,Lisboa,Sintra,Female,35-44,1067.548506,491.407433,-576.141073,-0.5396860842967636
R1 - AM Lisboa,Lisboa,Sintra,Female,45-54,628.884637,363.386502,-265.498135,-0.4221730336211091
R1 - AM Lisboa,Lisboa,Sintra,Female,55-64,575.924467,446.94795,-128.97651700000006,-0.22394693122145137
R1 - AM Lisboa,Lisboa,Sintra,Female,65+,341.166005,390.656267,49.49026200000003,0.14506211426311375
R1 - AM Lisboa,Lisboa,Sintra,Male,15-24,1039.44849,305.868343,-733.580147,-0.7057397784088368
R1 - AM Lisboa,Lisboa,Sintra,Male,25-34,514.157731,651.750341,137.59261000000004,0.2676077820173826
R1 - AM Lisboa,Lisboa,Sintra,Male,35-44,560.391065,379.330656,-181.06040900000005,-0.32309653081281736
R1 - AM Lisboa,Lisboa,Sintra,Male,45-54,724.617493,542.275502,-182.341991,-0.251638958155817
R1 - AM Lisboa,Lisboa,Sintra,Male,55-64,822.201267,608.485062,-213.71620500000006,-0.25993173883056064
R1 - AM Lisboa,Lisboa,Sintra,Male,65+,371.207607,167.942964,-203.264643,-0.5475767176290652
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,15-24,1526.050605,354.397869,-1171.652736,-0.7677679443664321
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,25-34,57.097292,54.592288,-2.5050039999999996,-0.04387255353546363
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,35-44,467.533246,281.478873,-186.054373,-0.397948968531748
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,45-54,703.039153,543.432164,-159.6069890000001,-0.22702432477469728
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,55-64,967.153277,877.417957,-89.73532,-0.09278293537747068
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Female,65+,598.696931,500.904232,-97.79269899999997,-0.16334257607878064
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,25-34,791.983677,226.283182,-565.7004949999999,-0.7142830230325568
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,35-44,137.425488,124.491722,-12.933766000000006,-0.09411475402583257
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,45-54,534.709075,308.432718,-226.27635699999996,-0.42317657877790826
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,55-64,141.556626,693.873061,552.316435,3.901734949517658
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,Male,65+,4619.763109,1733.700675,-2886.0624340000004,-0.6247208711584177
R1 - AM Lisboa,Setúbal,Alcochete,Male,35-44,148.504551,157.793211,9.288660000000021,0.06254798211537653
R1 - AM Lisboa,Setúbal,Almada,Female,15-24,76.98526,184.171509,107.18624899999999,1.3922957329753773
R1 - AM Lisboa,Setúbal,Almada,Female,25-34,529.797711,405.646595,-124.15111600000006,-0.23433682974141812
R1 - AM Lisboa,Setúbal,Almada,Female,35-44,1113.117185,479.574256,-633.5429290000001,-0.5691610349183496
R1 - AM Lisboa,Setúbal,Almada,Female,45-54,701.945176,321.825519,-380.11965699999996,-0.5415232841489034
R1 - AM Lisboa,Setúbal,Almada,Female,55-64,1539.05817,675.965262,-863.092908,-0.5607929088216334
R1 - AM Lisboa,Setúbal,Almada,Male,15-24,1140.502352,381.95058,-758.551772,-0.6651032070822069
R1 - AM Lisboa,Setúbal,Almada,Male,25-34,17.528597,497.588139,480.059542,27.387219981154225
R1 - AM Lisboa,Setúbal,Almada,Male,35-44,567.133667,768.014057,200.88039000000003,0.35420290081279915
R1 - AM Lisboa,Setúbal,Almada,Male,45-54,734.437908,589.356141,-145.081767,-0.19754122904015464
R1 - AM Lisboa,Setúbal,Almada,Male,55-64,1153.217952,1059.492103,-93.72584899999993,-0.08127331770846377
R1 - AM Lisboa,Setúbal,Almada,Male,65+,754.478639,1903.343342,1148.8647029999997,1.5227266136026412
R1 - AM Lisboa,Setúbal,Barreiro,Female,25-34,154.142963,58.338982,-95.80398100000001,-0.6215267900358189
R1 - AM Lisboa,Setúbal,Barreiro,Female,35-44,216.209564,180.985328,-35.22423599999999,-0.16291710388907676
R1 - AM Lisboa,Setúbal,Barreiro,Female,45-54,142.916866,61.886259,-81.030607,-0.5669772173705516
R1 - AM Lisboa,Setúbal,Barreiro,Female,55-64,592.69902,25.425953,-567.273067,-0.9571014087386207
R1 - AM Lisboa,Setúbal,Barreiro,Female,65+,6863.508899,4419.364506,-2444.1443930000005,-0.3561071208571038
R1 - AM Lisboa,Setúbal,Barreiro,Male,35-44,269.762879,77.071636,-192.691243,-0.7142985859073664
R1 - AM Lisboa,Setúbal,Barreiro,Male,45-54,159.137107,31.283509,-127.85359799999999,-0.803417885433848
R1 - AM Lisboa,Setúbal,Barreiro,Male,55-64,138.42494,372.782113,234.357173,1.6930270874598177
R1 - AM Lisboa,Setúbal,Moita,Female,15-24,25.139772,46.483293,21.343521000000003,0.8489942152219997
R1 - AM Lisboa,Setúbal,Moita,Female,35-44,1126.283479,408.352184,-717.9312949999999,-0.6374339217311736
R1 - AM Lisboa,Setúbal,Moita,Female,45-54,251.447252,216.272346,-35.17490599999999,-0.13988980082391195
R1 - AM Lisboa,Setúbal,Moita,Male,45-54,335.032273,52.656256,-282.376017,-0.8428322873838485
R1 - AM Lisboa,Setúbal,Moita,Male,55-64,17.028465,12.54729,-4.481175,-0.2631578947368421
R1 - AM Lisboa,Setúbal,Montijo,Female,35-44,65.504612,317.566534,252.06192199999998,3.8480026719340006
R1 - AM Lisboa,Setúbal,Montijo,Female,45-54,33.591196,24.223909,-9.367286999999997,-0.27886137189042026
R1 - AM Lisboa,Setúbal,Montijo,Male,25-34,602.079344,130.896738,-471.18260599999996,-0.7825922126303672
R1 - AM Lisboa,Setúbal,Montijo,Male,35-44,217.440708,229.471387,12.030678999999992,0.05532854961086676
R1 - AM Lisboa,Setúbal,Montijo,Male,45-54,747.404025,550.762281,-196.64174400000002,-0.26309965884917463
R1 - AM Lisboa,Setúbal,Montijo,Male,55-64,224.17008,135.07161,-89.09847000000002,-0.3974592416615099
R1 - AM Lisboa,Setúbal,Palmela,Female,35-44,78.45602,58.12592,-20.330099999999995,-0.2591273429368453
R1 - AM Lisboa,Setúbal,Palmela,Female,45-54,698.500461,294.628607,-403.871854,-0.5781984072305429
R1 - AM Lisboa,Setúbal,Palmela,Female,55-64,978.140462,779.082536,-199.05792599999995,-0.20350648371399235
R1 - AM Lisboa,Setúbal,Palmela,Female,65+,2484.065644,1340.854459,-1143.211185,-0.460217783600569
R1 - AM Lisboa,Setúbal,Palmela,Male,35-44,15.544175,19.304863,3.760688000000002,0.24193551603735816
R1 - AM Lisboa,Setúbal,Palmela,Male,45-54,170.105533,80.862133,-89.24340000000001,-0.5246354920154185
R1 - AM Lisboa,Setúbal,Seixal,Female,15-24,1659.21487,1025.281174,-633.933696,-0.38206847555555
R1 - AM Lisboa,Setúbal,Seixal,Female,25-34,526.222318,379.832737,-146.38958099999996,-0.2781896092061986
R1 - AM Lisboa,Setúbal,Seixal,Female,35-44,430.854109,333.981558,-96.87255099999999,-0.22483840580014056
R1 - AM Lisboa,Setúbal,Seixal,Female,45-54,532.982647,324.845624,-208.13702300000006,-0.3905136952798391
R1 - AM Lisboa,Setúbal,Seixal,Female,55-64,236.728677,221.363489,-15.365188000000018,-0.06490632311521775
R1 - AM Lisboa,Setúbal,Seixal,Female,65+,3368.063491,4219.519987,851.4564959999998,0.25280298256705275
R1 - AM Lisboa,Setúbal,Seixal,Male,15-24,37.697725,1631.340763,1593.643038,42.2742496529963
R1 - AM Lisboa,Setúbal,Seixal,Male,25-34,1964.138353,924.934533,-1039.2038200000002,-0.5290889098584799
R1 - AM Lisboa,Setúbal,Seixal,Male,35-44,98.771815,138.548953,39.77713800000001,0.4027174958767337
R1 - AM Lisboa,Setúbal,Seixal,Male,45-54,538.247601,278.12157,-260.126031,-0.4832832148563538
R1 - AM Lisboa,Setúbal,Seixal,Male,55-64,1141.757788,1118.729895,-23.02789299999995,-0.02016880746689503
R1 - AM Lisboa,Setúbal,Sesimbra,Female,35-44,186.003027,111.245333,-74.757694,-0.4019165451538592
R1 - AM Lisboa,Setúbal,Sesimbra,Female,45-54,130.390426,324.337211,193.94678500000003,1.4874311784210295
R1 - AM Lisboa,Setúbal,Sesimbra,Male,25-34,110.870067,98.7082,-12.161867,-0.10969477451474798
R1 - AM Lisboa,Setúbal,Sesimbra,Male,35-44,191.243758,112.852114,-78.39164400000001,-0.40990432743953925
R1 - AM Lisboa,Setúbal,Setúbal,Female,25-34,331.657285,207.029232,-124.628053,-0.3757736031638804
R1 - AM Lisboa,Setúbal,Setúbal,Female,35-44,105.175159,52.058988,-53.116170999999994,-0.5050258207834037
R1 - AM Lisboa,Setúbal,Setúbal,Female,45-54,740.266994,586.863611,-153.40338299999996,-0.20722710082086945
R1 - AM Lisboa,Setúbal,Setúbal,Female,65+,442.945625,543.328358,100.38273299999997,0.22662540802835557
R1 - AM Lisboa,Setúbal,Setúbal,Male,25-34,310.902223,193.71344,-117.188783,-0.3769313125818338
R1 - AM Lisboa,Setúbal,Setúbal,Male,35-44,219.090928,98.191236,-120.89969199999999,-0.551824272705623
R1 - AM Lisboa,Setúbal,Setúbal,Male,45-54,292.351649,224.709442,-67.64220700000001,-0.23137275685419517
R1 - AM Lisboa,Setúbal,Setúbal,Male,55-64,2306.435434,395.212643,-1911.222791,-0.8286478619023853
R2 - AM Porto,Aveiro,Espinho,Female,25-34,282.382257,104.283311,-178.09894599999998,-0.6307016166387536
R2 - AM Porto,Aveiro,Espinho,Female,35-44,112.209066,75.527831,-36.681235,-0.32690081387897835
R2 - AM Porto,Aveiro,Espinho,Male,25-34,324.282029,197.786218,-126.49581100000003,-0.39007962109426675
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Female,35-44,227.205005,86.90637,-140.298635,-0.6174979948174997
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Male,15-24,2532.403842,456.186621,-2076.2172210000003,-0.8198602397318587
R2 - AM Porto,Aveiro,Oliveira de Azeméis,Male,35-44,26.80014,63.123921,36.323781000000004,1.3553578824588233
R2 - AM Porto,Aveiro,Santa Maria da Feira,Female,25-34,153.751464,5.514983,-148.236481,-0.9641305334172298
R2 - AM Porto,Aveiro,Santa Maria da Feira,Female,35-44,860.110131,472.485425,-387.624706,-0.45066869000755905
R2 - AM Porto,Aveiro,Santa Maria da Feira,Female,45-54,67.578262,55.05125,-12.527011999999992,-0.1853704376120237
R2 - AM Porto,Aveiro,Santa Maria da Feira,Male,15-24,290.768477,951.633743,660.865266,2.272822944283606
R2 - AM Porto,Aveiro,Santa Maria da Feira,Male,25-34,734.897731,356.71517,-378.182561,-0.5146056996058408
R2 - AM Porto,Aveiro,Santa Maria da Feira,Male,35-44,130.878587,98.005992,-32.872595000000004,-0.2511686269962557
R2 - AM Porto,Aveiro,Santa Maria da Feira,Male,45-54,268.190888,190.449031,-77.74185699999998,-0.2898750870312939
R2 - AM Porto,Porto,Gondomar,Female,15-24,572.388784,634.479167,62.090382999999974,0.10847589040109488
R2 - AM Porto,Porto,Gondomar,Female,25-34,343.643229,220.325623,-123.31760600000001,-0.3588535888190016
R2 - AM Porto,Porto,Gondomar,Female,35-44,847.476573,428.213359,-419.263214,-0.49471953250087064
R2 - AM Porto,Porto,Gondomar,Female,45-54,832.964612,661.464687,-171.49992499999996,-0.20589100968913668
R2 - AM Porto,Porto,Gondomar,Female,65+,66882.208463,34406.417961,-32475.790502000003,-0.4855669579147641
R2 - AM Porto,Porto,Gondomar,Male,15-24,49.269538,126.654141,77.384603,1.5706378858271413
R2 - AM Porto,Porto,Gondomar,Male,25-34,882.342028,607.201512,-275.14051600000005,-0.3118297749271443
R2 - AM Porto,Porto,Gondomar,Male,35-44,342.1531,163.913975,-178.239125,-0.5209338304986861
R2 - AM Porto,Porto,Gondomar,Male,45-54,1549.784064,593.235609,-956.548455,-0.6172140217593566
R2 - AM Porto,Porto,Gondomar,Male,55-64,3561.84035,2257.790977,-1304.0493729999998,-0.36611673878083834
R2 - AM Porto,Porto,Gondomar,Male,65+,7947.050672,3504.809322,-4442.24135,-0.5589798698089892
R2 - AM Porto,Porto,Maia,Female,15-24,476.873417,458.625209,-18.248208000000034,-0.03826635612192246
R2 - AM Porto,Porto,Maia,Female,25-34,2126.358371,640.869203,-1485.4891679999998,-0.6986071530836981
R2 - AM Porto,Porto,Maia,Female,35-44,243.40302,138.791331,-104.61168899999998,-0.42978796647634027
R2 - AM Porto,Porto,Maia,Female,45-54,814.760142,1205.591396,390.83125400000006,0.4796887253721354
R2 - AM Porto,Porto,Maia,Female,55-64,49.697015,414.680964,364.983949,7.344182522833615
R2 - AM Porto,Porto,Maia,Female,65+,1421.823252,3087.379969,1665.5567170000002,1.1714231812267482
R2 - AM Porto,Porto,Maia,Male,15-24,565.371422,218.028919,-347.3425030000001,-0.614361620492378
R2 - AM Porto,Porto,Maia,Male,35-44,1011.329388,882.475302,-128.85408599999994,-0.12741060185625688
R2 - AM Porto,Porto,Maia,Male,45-54,611.142998,92.392382,-518.750616,-0.8488203541522045
R2 - AM Porto,Porto,Maia,Male,55-64,2368.864346,2148.822951,-220.04139499999974,-0.09288898090410103
R2 - AM Porto,Porto,Maia,Male,65+,38731.005027,8596.305685,-30134.699342,-0.7780510555043078
R2 - AM Porto,Porto,Matosinhos,Female,25-34,2379.340342,491.327932,-1888.01241,-0.7935024580859228
R2 - AM Porto,Porto,Matosinhos,Female,35-44,290.60732,582.805507,292.198187,1.0054742839925712
R2 - AM Porto,Porto,Matosinhos,Female,45-54,3124.936903,988.858826,-2136.0780769999997,-0.6835587864027985
R2 - AM Porto,Porto,Matosinhos,Female,55-64,5938.059939,2753.474588,-3184.5853509999997,-0.5363006409019678
R2 - AM Porto,Porto,Matosinhos,Male,15-24,781.200941,285.538633,-495.66230799999994,-0.6344875972186008
R2 - AM Porto,Porto,Matosinhos,Male,35-44,556.53915,409.150588,-147.38856199999992,-0.2648305370790176
R2 - AM Porto,Porto,Matosinhos,Male,45-54,2313.69445,1862.092843,-451.60160700000006,-0.19518636395570732
R2 - AM Porto,Porto,Matosinhos,Male,55-64,780.90493,1901.737429,1120.832499,1.4352995556065962
R2 - AM Porto,Porto,Paredes,Female,35-44,381.711442,224.706308,-157.00513399999997,-0.41131890932417997
R2 - AM Porto,Porto,Paredes,Male,35-44,99.506985,60.632825,-38.87416,-0.39066765011521554
R2 - AM Porto,Porto,Porto,Female,15-24,341.998863,677.336777,335.337914,0.9805234761847733
R2 - AM Porto,Porto,Porto,Female,25-34,987.620247,415.00416,-572.6160869999999,-0.5797937909225548
R2 - AM Porto,Porto,Porto,Female,35-44,891.159557,654.807128,-236.35242899999992,-0.2652189803088202
R2 - AM Porto,Porto,Porto,Female,45-54,3870.204082,1198.805374,-2671.398708,-0.6902475041108181
R2 - AM Porto,Porto,Porto,Female,55-64,6762.320821,2237.054054,-4525.266767,-0.6691884172290441
R2 - AM Porto,Porto,Porto,Female,65+,11774.918453,7867.453847,-3907.4646060000005,-0.33184642607902404
R2 - AM Porto,Porto,Porto,Male,25-34,3898.766393,910.283068,-2988.483325,-0.7665202332629218
R2 - AM Porto,Porto,Porto,Male,35-44,1425.301241,857.322229,-567.9790119999999,-0.3984975215495515
R2 - AM Porto,Porto,Porto,Male,45-54,3409.967677,1637.997776,-1771.9699010000002,-0.5196441928032974
R2 - AM Porto,Porto,Porto,Male,55-64,897.575261,283.036268,-614.5389929999999,-0.684665698467819
R2 - AM Porto,Porto,Porto,Male,65+,13509.241837,6940.273923,-6568.967914,-0.48625733355431383
R2 - AM Porto,Porto,Póvoa de Varzim,Female,35-44,176.362802,181.693481,5.3306790000000035,0.030225642479869443
R2 - AM Porto,Porto,Póvoa de Varzim,Female,45-54,388.604836,104.82818,-283.776656,-0.7302447877926048
R2 - AM Porto,Porto,Póvoa de Varzim,Male,25-34,154.871189,39.465245,-115.40594399999998,-0.7451737456474231
R2 - AM Porto,Porto,Póvoa de Varzim,Male,35-44,1376.448442,1042.130337,-334.31810499999983,-0.24288458237798627
R2 - AM Porto,Porto,Santo Tirso,Female,35-44,42.763319,29.620199,-13.143120000000003,-0.30734564826457933
R2 - AM Porto,Porto,Trofa,Female,25-34,141.067454,47.813025,-93.25442899999999,-0.6610626785679423
R2 - AM Porto,Porto,Trofa,Female,35-44,33.109745,5.725633,-27.384111999999995,-0.8270710632171887
R2 - AM Porto,Porto,Trofa,Male,35-44,20.843524,18.224723,-2.6188009999999977,-0.12564099045823526
R2 - AM Porto,Porto,Trofa,Male,45-54,790.439395,474.481242,-315.958153,-0.39972470375163927
R2 - AM Porto,Porto,Valongo,Female,35-44,923.894241,482.568197,-441.32604399999997,-0.47768026297286986
R2 - AM Porto,Porto,Valongo,Male,15-24,1813.704207,1970.347331,156.64312399999994,0.08636641156558775
R2 - AM Porto,Porto,Valongo,Male,25-34,27.625672,366.664832,339.03916,12.272612228220185
R2 - AM Porto,Porto,Valongo,Male,35-44,172.499403,104.137265,-68.362138,-0.39630362083050225
R2 - AM Porto,Porto,Valongo,Male,45-54,143.210606,135.788585,-7.422021000000001,-0.051825917139125856
R2 - AM Porto,Porto,Valongo,Male,65+,1473.349749,1198.556609,-274.79314,-0.18650910293805603
R2 - AM Porto,Porto,Vila do Conde,Female,25-34,335.380123,283.342437,-52.03768600000001,-0.15516031640312805
R2 - AM Porto,Porto,Vila do Conde,Female,35-44,144.469939,9.758835,-134.711104,-0.9324507571087158
R2 - AM Porto,Porto,Vila Nova de Gaia,Female,15-24,822.786723,192.148169,-630.6385540000001,-0.7664666144594559
R2 - AM Porto,Porto,Vila Nova de Gaia,Female,25-34,1425.094293,439.988329,-985.1059640000001,-0.6912566900581926
R2 - AM Porto,Porto,Vila Nova de Gaia,Female,35-44,308.322475,439.588499,131.26602400000002,0.4257426384502136
R2 - AM Porto,Porto,Vila Nova de Gaia,Female,45-54,4427.626949,1251.779779,-3175.8471700000005,-0.7172797542749801
R2 - AM Porto,Porto,Vila Nova de Gaia,Female,55-64,2097.12862,1075.529529,-1021.599091,-0.4871418382531063
R2 - AM Porto,Porto,Vila Nova de Gaia,Male,15-24,5240.719161,4452.188395,-788.5307659999999,-0.15046232048991107
R2 - AM Porto,Porto,Vila Nova de Gaia,Male,25-34,282.736504,363.461965,80.725461,0.28551481629694336
R2 - AM Porto,Porto,Vila Nova de Gaia,Male,35-44,883.557355,214.023515,-669.53384,-0.7577706599477065
R2 - AM Porto,Porto,Vila Nova de Gaia,Male,45-54,1788.376244,1443.335763,-345.040481,-0.19293506171176808
R2 - AM Porto,Porto,Vila Nova de Gaia,Male,55-64,21.943108,374.627538,352.68443,16.07267439051934
